Order	Super kindom	Strain name	Release date	SEQ count	CAS count	CRISPR count	Assembly description	Number of spacers	Number of self-targeting spacers
24	Bacteria	Acetomicrobium mobile DSM 13181 (bacteria)	2012-06	1	2	4	|GCA_000266925.1|GCF_000266925.1|Acetomicrobium mobile DSM 13181 (bacteria)|CP003198.1|ANONYMOUS Chromosome	185	0
25	Bacteria	Acholeplasma palmae J233 (mycoplasmas)	2013-10	1	1	1	|GCA_000968055.1|GCF_000968055.1|Acholeplasma palmae J233 (mycoplasmas)|FO681347.1|ANONYMOUS Chromosome	35	1
26	Bacteria	Achromobacter denitrificans (b-proteobacteria) PheN1	2018-11	1	1	7	|GCA_003812265.1||Achromobacter denitrificans (b-proteobacteria) PheN1|CP033730.1|ANONYMOUS Chromosome	28	0
27	Bacteria	Achromobacter denitrificans (b-proteobacteria) PR1	2017-06	1	1	10	|GCA_002205315.1|GCF_002205315.1|Achromobacter denitrificans (b-proteobacteria) PR1|CP020917.1|ANONYMOUS Chromosome	36	1
28	Bacteria	Achromobacter sp. AONIH1 (b-proteobacteria)	2018-01	1	2	11	|GCA_002902905.1|GCF_002902905.1|Achromobacter sp. AONIH1 (b-proteobacteria)|CP026124.1|ANONYMOUS Chromosome	106	0
29	Bacteria	Achromobacter xylosoxidans (b-proteobacteria) FDAARGOS_150	2018-02	1	1	5	|GCA_001559195.2|GCF_001559195.1|Achromobacter xylosoxidans (b-proteobacteria) FDAARGOS_150|CP014028.2|ANONYMOUS Chromosome	15	0
30	Bacteria	Acidaminococcus fermentans DSM 20731 (firmicutes)	2010-01	1	1	4	|GCA_000025305.1|GCF_000025305.1|Acidaminococcus fermentans DSM 20731 (firmicutes)|CP001859.1|ANONYMOUS Chromosome	61	0
31	Bacteria	Acidaminococcus intestini RyC-MR95 (firmicutes)	2011-10	1	1	2	|GCA_000230275.1|GCF_000230275.1|Acidaminococcus intestini RyC-MR95 (firmicutes)|CP003058.1|ANONYMOUS Chromosome	52	0
32	Archaea	Acidianus brierleyi (crenarchaeotes) DSM 1651	2018-06	1	5	11	|GCA_003201835.1||Acidianus brierleyi (crenarchaeotes) DSM 1651|CP029289.1|ANONYMOUS Chromosome	354	0
33	Archaea	Acidianus hospitalis W1 (crenarchaeotes)	2011-05	1	2	10	|GCA_000213215.1|GCF_000213215.1|Acidianus hospitalis W1 (crenarchaeotes)|CP002535.1|ANONYMOUS Chromosome	123	0
34	Archaea	Acidianus manzaensis (crenarchaeotes) YN-25	2017-05	1	1	9	|GCA_002116695.1||Acidianus manzaensis (crenarchaeotes) YN-25|CP020477.1|ANONYMOUS Chromosome	396	0
35	Archaea	Acidianus sulfidivorans JP7 (crenarchaeotes)	2018-06	1	4	12	|GCA_003201765.1||Acidianus sulfidivorans JP7 (crenarchaeotes)|CP029288.1|ANONYMOUS Chromosome	352	0
36	Bacteria	Acidiferrobacter sp. SPIII_3 (g-proteobacteria)	2018-06	1	1	7	|GCA_003184265.1||Acidiferrobacter sp. SPIII_3 (g-proteobacteria)|CP027663.1|ANONYMOUS Chromosome	42	0
37	Bacteria	Acidihalobacter ferrooxidans (g-proteobacteria) V8	2017-01	1	1	6	|GCA_001975725.1|GCF_001975725.1|Acidihalobacter ferrooxidans (g-proteobacteria) V8|CP019434.1|ANONYMOUS Chromosome	32	0
38	Bacteria	Acidihalobacter prosperus (g-proteobacteria) V6	2016-10	2	0	5	|GCA_001753165.1|GCF_001753165.1|Acidihalobacter prosperus (g-proteobacteria) V6|CP017448.1|ANONYMOUS Chromosome|CP017449.1|pAPV6 Plasmid	12	0
39	Archaea	Acidilobus saccharovorans 345-15 (crenarchaeotes)	2010-08	1	1	7	|GCA_000144915.1|GCF_000144915.1|Acidilobus saccharovorans 345-15 (crenarchaeotes)|CP001742.1|ANONYMOUS Chromosome	102	0
40	Bacteria	Acidimicrobium ferrooxidans DSM 10331 (actinobacteria)	2009-08	1	1	3	|GCA_000023265.1|GCF_000023265.1|Acidimicrobium ferrooxidans DSM 10331 (actinobacteria)|CP001631.1|ANONYMOUS Chromosome	65	2
41	Bacteria	Acidiphilium cryptum JF-5 (a-proteobacteria)	2007-05	9	2	3	|GCA_000016725.1|GCF_000016725.1|Acidiphilium cryptum JF-5 (a-proteobacteria)|CP000695.1|pACRY07 Plasmid|CP000697.1|ANONYMOUS Chromosome|CP000691.1|pACRY03 Plasmid|CP000689.1|pACRY01 Plasmid|CP000690.1|pACRY02 Plasmid|CP000692.1|pACRY04 Plasmid|CP000696.1|pACRY08 Plasmid|CP000694.1|pACRY06 Plasmid|CP000693.1|pACRY05 Plasmid	39	0
42	Bacteria	Acidipropionibacterium acidipropionici ATCC 4875 (high GC Gram+)	2012-11	1	1	19	|GCA_000310065.1|GCF_000310065.1|Acidipropionibacterium acidipropionici ATCC 4875 (high GC Gram+)|CP003493.1|ANONYMOUS Chromosome	99	0
43	Bacteria	Acidipropionibacterium acidipropionici (high GC Gram+) ATCC 55737	2016-03	2	1	11	|GCA_001602115.1|GCF_001602115.1|Acidipropionibacterium acidipropionici (high GC Gram+) ATCC 55737|CP014353.1|unnamed Plasmid|CP014352.1|ANONYMOUS Chromosome	83	0
44	Bacteria	Acidipropionibacterium acidipropionici (high GC Gram+) F3E8	2016-10	1	1	11	|GCA_001855335.1|GCF_001855335.1|Acidipropionibacterium acidipropionici (high GC Gram+) F3E8|CP015970.1|ANONYMOUS Chromosome	83	0
45	Bacteria	Acidipropionibacterium acidipropionici (high GC Gram+) WGS7	2018-12	1	1	11	|GCA_003956085.1||Acidipropionibacterium acidipropionici (high GC Gram+) WGS7|CP031057.1|ANONYMOUS Chromosome	83	0
46	Bacteria	Acidipropionibacterium jensenii (high GC Gram+) JS279	2019-01	1	1	14	|GCA_004011075.1||Acidipropionibacterium jensenii (high GC Gram+) JS279|CP025571.1|ANONYMOUS Chromosome	76	0
47	Bacteria	Acidipropionibacterium jensenii (high GC Gram+) JS280	2019-01	1	1	12	|GCA_004011055.1||Acidipropionibacterium jensenii (high GC Gram+) JS280|CP025570.1|ANONYMOUS Chromosome	70	0
48	Bacteria	Acidipropionibacterium jensenii (high GC Gram+) NCTC13652	2018-12	1	1	11	|GCA_900637925.1||Acidipropionibacterium jensenii (high GC Gram+) NCTC13652|LR134473.1|ERS1502675SCcontig000001 Chromosome	76	3
49	Bacteria	Acidipropionibacterium sp. JS278 (high GC Gram+)	2018-07	1	1	6	|GCA_003325455.1||Acidipropionibacterium sp. JS278 (high GC Gram+)|CP025198.1|ANONYMOUS Chromosome	201	1
50	Bacteria	Acidithiobacillus caldus ATCC 51756 (proteobacteria)	2014-05	4	0	4	|GCA_000175575.2|GCF_000175575.2|Acidithiobacillus caldus ATCC 51756 (proteobacteria)|CP005989.1|pACA1.2 Plasmid|CP005988.1|pACA1.1 Plasmid|CP005987.1|megaplasmid mpAca1.1 Plasmid|CP005986.1|ANONYMOUS Chromosome	18	1
51	Bacteria	Acidithiobacillus caldus (proteobacteria) MTH-04	2018-01	3	0	7	|GCA_001650235.2|GCF_001650235.2|Acidithiobacillus caldus (proteobacteria) MTH-04|CP026328.1|ANONYMOUS Chromosome|CP026330.1|p2 Plasmid|CP026329.1|p1 Plasmid	33	0
52	Bacteria	Acidithiobacillus caldus SM-1 (proteobacteria)	2011-07	5	0	7	|GCA_000221025.1|GCF_000221025.1|Acidithiobacillus caldus SM-1 (proteobacteria)|CP002577.1|pLAtc3 Plasmid|CP002576.1|pLAtc2 Plasmid|CP002575.1|pLAtc1 Plasmid|CP002574.1|megaplasmid Plasmid|CP002573.1|ANONYMOUS Chromosome	27	0
53	Bacteria	Acidithiobacillus ferrivorans (proteobacteria)	2017-04	2	0	3	|GCA_900174455.1|GCF_900174455.1|Acidithiobacillus ferrivorans (proteobacteria)|LT841305.1|AFERRI Chromosome|LT841306.1|AFERRIp Plasmid	17	1
54	Bacteria	Acidithiobacillus ferrooxidans ATCC 23270 (proteobacteria)	2008-12	1	1	7	|GCA_000021485.1|GCF_000021485.1|Acidithiobacillus ferrooxidans ATCC 23270 (proteobacteria)|CP001219.1|ANONYMOUS Chromosome	5	0
55	Bacteria	Acidobacterium capsulatum ATCC 51196 (bacteria)	2009-03	1	1	5	|GCA_000022565.1|GCF_000022565.1|Acidobacterium capsulatum ATCC 51196 (bacteria)|CP001472.1|ANONYMOUS Chromosome	21	0
56	Bacteria	Acidothermus cellulolyticus 11B (high GC Gram+) 11B; ATCC 43068	2006-11	1	0	18	|GCA_000015025.1|GCF_000015025.1|Acidothermus cellulolyticus 11B (high GC Gram+) 11B; ATCC 43068|CP000481.1|ANONYMOUS Chromosome	27	0
57	Bacteria	Acidovorax avenae subsp. avenae ATCC 19860 (b-proteobacteria)	2011-02	1	1	7	|GCA_000176855.2|GCF_000176855.2|Acidovorax avenae subsp. avenae ATCC 19860 (b-proteobacteria)|CP002521.1|ANONYMOUS Chromosome	130	3
58	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria)	2018-04	1	0	3	|GCA_003030005.1|GCF_003030005.1|Acidovorax avenae subsp. avenae (b-proteobacteria)|CP028302.1|ANONYMOUS Chromosome	53	0
59	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) AA78_5	2018-04	1	0	3	|GCA_003029805.1|GCF_003029805.1|Acidovorax avenae subsp. avenae (b-proteobacteria) AA78_5|CP028287.1|ANONYMOUS Chromosome	52	1
60	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) AA81_1	2018-04	1	1	3	|GCA_003029685.1|GCF_003029685.1|Acidovorax avenae subsp. avenae (b-proteobacteria) AA81_1|CP028288.1|ANONYMOUS Chromosome	113	1
61	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) AA99_2	2018-04	1	1	5	|GCA_003029825.1|GCF_003029825.1|Acidovorax avenae subsp. avenae (b-proteobacteria) AA99_2|CP028289.1|ANONYMOUS Chromosome	107	0
62	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) COLB1	2018-04	1	1	3	|GCA_003029705.1||Acidovorax avenae subsp. avenae (b-proteobacteria) COLB1|CP028291.1|ANONYMOUS Chromosome	147	0
63	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) INDB2	2018-04	1	0	2	|GCA_003029865.1||Acidovorax avenae subsp. avenae (b-proteobacteria) INDB2|CP028292.1|ANONYMOUS Chromosome	40	0
64	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) INV	2018-04	1	0	3	|GCA_003029885.1||Acidovorax avenae subsp. avenae (b-proteobacteria) INV|CP028293.1|ANONYMOUS Chromosome	27	0
65	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) KL3	2018-04	1	0	4	|GCA_003029905.1|GCF_003029905.1|Acidovorax avenae subsp. avenae (b-proteobacteria) KL3|CP028294.1|ANONYMOUS Chromosome	10	0
66	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) MD5	2018-04	1	0	3	|GCA_003029725.1||Acidovorax avenae subsp. avenae (b-proteobacteria) MD5|CP028295.1|ANONYMOUS Chromosome	29	1
67	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) MDB1	2018-04	1	0	2	|GCA_003029925.1||Acidovorax avenae subsp. avenae (b-proteobacteria) MDB1|CP028296.1|ANONYMOUS Chromosome	15	0
68	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) MOR	2018-04	1	0	4	|GCA_003029945.1||Acidovorax avenae subsp. avenae (b-proteobacteria) MOR|CP028297.1|ANONYMOUS Chromosome	74	0
69	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) NCT3	2018-04	1	0	2	|GCA_003029965.1||Acidovorax avenae subsp. avenae (b-proteobacteria) NCT3|CP028298.1|ANONYMOUS Chromosome	16	0
70	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) QH1	2018-04	1	1	5	|GCA_003029765.1||Acidovorax avenae subsp. avenae (b-proteobacteria) QH1|CP028299.1|ANONYMOUS Chromosome	87	0
71	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) QHB1	2018-04	1	0	4	|GCA_003029985.1||Acidovorax avenae subsp. avenae (b-proteobacteria) QHB1|CP028300.1|ANONYMOUS Chromosome	15	0
72	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) Sa2	2018-04	1	0	2	|GCA_003030325.1||Acidovorax avenae subsp. avenae (b-proteobacteria) Sa2|CP028301.1|ANONYMOUS Chromosome	38	0
73	Bacteria	Acidovorax avenae subsp. avenae (b-proteobacteria) SH7	2018-04	1	0	3	|GCA_003029785.1|GCF_003029785.1|Acidovorax avenae subsp. avenae (b-proteobacteria) SH7|CP028303.1|ANONYMOUS Chromosome	25	0
74	Bacteria	Acidovorax cattleyae (b-proteobacteria) CAT98_1	2018-04	1	0	4	|GCA_003029845.1|GCF_003029845.1|Acidovorax cattleyae (b-proteobacteria) CAT98_1|CP028290.1|ANONYMOUS Chromosome	54	0
75	Bacteria	Acidovorax ebreus TPSY (b-proteobacteria)	2009-01	1	1	3	|GCA_000022305.1|GCF_000022305.1|Acidovorax ebreus TPSY (b-proteobacteria)|CP001392.1|ANONYMOUS Chromosome	13	0
76	Bacteria	Acidovorax sp. 1608163 (b-proteobacteria)	2018-10	1	0	2	|GCA_003669015.1||Acidovorax sp. 1608163 (b-proteobacteria)|CP033069.1|ANONYMOUS Chromosome	35	0
77	Bacteria	Acidovorax sp. JS42 (b-proteobacteria)	2007-01	3	2	4	|GCA_000015545.1|GCF_000015545.1|Acidovorax sp. JS42 (b-proteobacteria)|CP000539.1|ANONYMOUS Chromosome|CP000541.1|pAOVO02 Plasmid|CP000540.1|pAOVO01 Plasmid	71	0
78	Bacteria	Acidovorax sp. RAC01 (b-proteobacteria)	2016-08	1	1	2	|GCA_001714725.1|GCF_001714725.1|Acidovorax sp. RAC01 (b-proteobacteria)|CP016447.1|ANONYMOUS Chromosome	44	1
79	Archaea	Aciduliprofundum boonei T469 (euryarchaeotes)	2010-02	1	1	2	|GCA_000025665.1|GCF_000025665.1|Aciduliprofundum boonei T469 (euryarchaeotes)|CP001941.1|ANONYMOUS Chromosome	21	0
80	Archaea	Aciduliprofundum sp. MAR08-339 (euryarchaeotes)	2012-12	1	1	4	|GCA_000327505.1|GCF_000327505.1|Aciduliprofundum sp. MAR08-339 (euryarchaeotes)|CP003168.1|ANONYMOUS Chromosome	21	0
81	Bacteria	Acinetobacter baumannii AB0057 (g-proteobacteria)	2017-06	2	1	6	|GCA_000021245.2|GCF_000021245.2|Acinetobacter baumannii AB0057 (g-proteobacteria)|CP001183.2|pAB0057 Plasmid|CP001182.2|ANONYMOUS Chromosome	52	0
82	Bacteria	Acinetobacter baumannii AB307-0294 (g-proteobacteria)	2019-01	1	1	5	|GCA_002803025.2||Acinetobacter baumannii AB307-0294 (g-proteobacteria)|CP001172.2|ANONYMOUS Chromosome	45	0
83	Bacteria	Acinetobacter baumannii AB307-0294 (g-proteobacteria) 1a58a2e	2008-11	1	1	5	|GCA_000021145.1|GCF_000021145.1|Acinetobacter baumannii AB307-0294 (g-proteobacteria) 1a58a2e|CP001172.1|ANONYMOUS Chromosome	45	0
84	Bacteria	Acinetobacter baumannii AYE (g-proteobacteria)	2008-02	5	1	5	|GCA_000069245.1|GCF_000069245.1|Acinetobacter baumannii AYE (g-proteobacteria)|CU459140.1|p3ABAYE Plasmid|CU459138.1|p2ABAYE Plasmid|CU459139.1|p4ABAYE Plasmid|CU459137.1|p1ABAYE Plasmid|CU459141.1|ANONYMOUS Chromosome	59	0
85	Bacteria	Acinetobacter baumannii (g-proteobacteria) 1d62d94	2016-01	2	1	3	|GCA_001517645.1|GCF_001517645.1|Acinetobacter baumannii (g-proteobacteria) 1d62d94|LN997846.1|I Chromosome|LN997847.1|II Plasmid	59	0
86	Bacteria	Acinetobacter baumannii (g-proteobacteria) 3207	2016-05	3	1	2	|GCA_001636235.1|GCF_001636235.1|Acinetobacter baumannii (g-proteobacteria) 3207|CP015366.1|pAba3207b Plasmid|CP015365.1|pAba3207a Plasmid|CP015364.1|ANONYMOUS Chromosome	97	1
87	Bacteria	Acinetobacter baumannii (g-proteobacteria) 7804	2017-07	3	1	1	|GCA_003431385.1||Acinetobacter baumannii (g-proteobacteria) 7804|CP022284.1|pAba7804a Plasmid|CP022283.1|ANONYMOUS Chromosome|CP022285.1|pAba7804b Plasmid	51	0
88	Bacteria	Acinetobacter baumannii (g-proteobacteria) 9102	2018-09	2	1	4	|GCA_003522845.1||Acinetobacter baumannii (g-proteobacteria) 9102|CP023029.1|ANONYMOUS Chromosome|CP023030.1|pAba9102a Plasmid	55	0
89	Bacteria	Acinetobacter baumannii (g-proteobacteria) A1	2015-01	2	1	4	|GCA_000830055.1|GCF_000830055.1|Acinetobacter baumannii (g-proteobacteria) A1|CP010782.1|pA1-1 Plasmid|CP010781.1|ANONYMOUS Chromosome	50	3
90	Bacteria	Acinetobacter baumannii (g-proteobacteria) A1296	2017-10	3	1	5	|GCA_002504145.1|GCF_002504145.1|Acinetobacter baumannii (g-proteobacteria) A1296|CP018333.1|pA1296_1 Plasmid|CP018334.1|pA1296_2 Plasmid|CP018332.1|ANONYMOUS Chromosome	187	0
91	Bacteria	Acinetobacter baumannii (g-proteobacteria) A388	2017-11	2	1	4	|GCA_002741415.1|GCF_002741415.1|Acinetobacter baumannii (g-proteobacteria) A388|CP024419.1|pA388 Plasmid|CP024418.1|ANONYMOUS Chromosome	53	0
92	Bacteria	Acinetobacter baumannii (g-proteobacteria) A85	2017-06	6	1	4	|GCA_002210065.1|GCF_002210065.1|Acinetobacter baumannii (g-proteobacteria) A85|CP021784.1|pA85-1a Plasmid|CP021783.1|pA85-1 Plasmid|CP021782.1|ANONYMOUS Chromosome|CP021787.1|pA85-3 Plasmid|CP021785.1|pA85-1b Plasmid|CP021786.1|pA85-2 Plasmid	52	0
93	Bacteria	Acinetobacter baumannii (g-proteobacteria) AB5075-UW	2015-03	4	1	4	|GCA_000963815.1|GCF_000963815.1|Acinetobacter baumannii (g-proteobacteria) AB5075-UW|CP008706.1|ANONYMOUS Chromosome|CP008708.1|p2AB5075 Plasmid|CP008707.1|p1AB5075 Plasmid|CP008709.1|p3AB5075 Plasmid	52	1
94	Bacteria	Acinetobacter baumannii (g-proteobacteria) ab736	2017-05	2	1	5	|GCA_002116925.1|GCF_002116925.1|Acinetobacter baumannii (g-proteobacteria) ab736|CP015121.1|ANONYMOUS Chromosome|CP015122.1|unnamed Plasmid	62	0
95	Bacteria	Acinetobacter baumannii (g-proteobacteria) AbH12O-A2	2014-10	1	1	3	|GCA_000761175.1|GCF_000761175.1|Acinetobacter baumannii (g-proteobacteria) AbH12O-A2|CP009534.1|ANONYMOUS Chromosome	118	2
96	Bacteria	Acinetobacter baumannii (g-proteobacteria) AF-401	2016-12	2	1	3	|GCA_001896005.1|GCF_001896005.1|Acinetobacter baumannii (g-proteobacteria) AF-401|CP018255.1|pAF-401 Plasmid|CP018254.1|ANONYMOUS Chromosome	99	2
97	Bacteria	Acinetobacter baumannii (g-proteobacteria) AR_0063	2018-02	2	1	3	|GCA_002947845.1|GCF_002947845.1|Acinetobacter baumannii (g-proteobacteria) AR_0063|CP026711.1|ANONYMOUS Chromosome|CP026712.1|unitig_2_pilon Plasmid	127	1
